,field,phenomenon,paradigm,score,metric,model,seed,step
2,syntax,Island effects,blimp_adjunct_island,0.49,acc,pythia-160m-seed8,8,32
4,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.807,acc,pythia-160m-seed8,8,32
6,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.521,acc,pythia-160m-seed8,8,32
8,syntax,Argument structure,blimp_animate_subject_passive,0.638,acc,pythia-160m-seed8,8,32
10,syntax,Argument structure,blimp_animate_subject_trans,0.762,acc,pythia-160m-seed8,8,32
12,syntax,Argument structure,blimp_causative,0.463,acc,pythia-160m-seed8,8,32
14,syntax,Island effects,blimp_complex_NP_island,0.466,acc,pythia-160m-seed8,8,32
16,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.417,acc,pythia-160m-seed8,8,32
18,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.454,acc,pythia-160m-seed8,8,32
20,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.5,acc,pythia-160m-seed8,8,32
22,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.497,acc,pythia-160m-seed8,8,32
24,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.529,acc,pythia-160m-seed8,8,32
26,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.529,acc,pythia-160m-seed8,8,32
28,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.465,acc,pythia-160m-seed8,8,32
30,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.531,acc,pythia-160m-seed8,8,32
32,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.54,acc,pythia-160m-seed8,8,32
34,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.487,acc,pythia-160m-seed8,8,32
36,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.471,acc,pythia-160m-seed8,8,32
38,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.514,acc,pythia-160m-seed8,8,32
40,syntax,Argument structure,blimp_drop_argument,0.631,acc,pythia-160m-seed8,8,32
42,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.574,acc,pythia-160m-seed8,8,32
44,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.326,acc,pythia-160m-seed8,8,32
46,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.606,acc,pythia-160m-seed8,8,32
48,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.508,acc,pythia-160m-seed8,8,32
50,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.507,acc,pythia-160m-seed8,8,32
52,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.523,acc,pythia-160m-seed8,8,32
54,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.578,acc,pythia-160m-seed8,8,32
56,syntax,Argument structure,blimp_inchoative,0.449,acc,pythia-160m-seed8,8,32
58,syntax,Argument structure,blimp_intransitive,0.589,acc,pythia-160m-seed8,8,32
60,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.893,acc,pythia-160m-seed8,8,32
62,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.36,acc,pythia-160m-seed8,8,32
64,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.467,acc,pythia-160m-seed8,8,32
66,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.502,acc,pythia-160m-seed8,8,32
68,syntax,Island effects,blimp_left_branch_island_echo_question,0.3,acc,pythia-160m-seed8,8,32
70,syntax,Island effects,blimp_left_branch_island_simple_question,0.499,acc,pythia-160m-seed8,8,32
72,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.019,acc,pythia-160m-seed8,8,32
74,semantics,NPI licensing,blimp_npi_present_1,0.714,acc,pythia-160m-seed8,8,32
76,semantics,NPI licensing,blimp_npi_present_2,0.709,acc,pythia-160m-seed8,8,32
78,semantics,NPI licensing,blimp_only_npi_licensor_present,0.724,acc,pythia-160m-seed8,8,32
80,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.389,acc,pythia-160m-seed8,8,32
82,syntax,Argument structure,blimp_passive_1,0.655,acc,pythia-160m-seed8,8,32
84,syntax,Argument structure,blimp_passive_2,0.664,acc,pythia-160m-seed8,8,32
86,syntaxsemantics,Binding,blimp_principle_A_c_command,0.247,acc,pythia-160m-seed8,8,32
88,syntaxsemantics,Binding,blimp_principle_A_case_1,0.989,acc,pythia-160m-seed8,8,32
90,syntaxsemantics,Binding,blimp_principle_A_case_2,0.469,acc,pythia-160m-seed8,8,32
92,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.38,acc,pythia-160m-seed8,8,32
94,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.44,acc,pythia-160m-seed8,8,32
