field	phenomenon	paradigm	score	metric	model	seed	step
Aggregate	Aggregate	blimp	0.5437313432835821	acc	pythia-160m-seed8	8	32
Aggregate	Aggregate	blimp	0.0017302878666546951	std	pythia-160m-seed8	8	32
syntax	Island effects	blimp_adjunct_island	0.49	acc	pythia-160m-seed8	8	32
syntax	Island effects	blimp_adjunct_island	0.0158161357527732	std	pythia-160m-seed8	8	32
morphology	Anaphor agreement	blimp_anaphor_gender_agreement	0.807	acc	pythia-160m-seed8	8	32
morphology	Anaphor agreement	blimp_anaphor_gender_agreement	0.012486268734370145	std	pythia-160m-seed8	8	32
morphology	Anaphor agreement	blimp_anaphor_number_agreement	0.521	acc	pythia-160m-seed8	8	32
morphology	Anaphor agreement	blimp_anaphor_number_agreement	0.015805341148131296	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_animate_subject_passive	0.638	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_animate_subject_passive	0.015204840912919501	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_animate_subject_trans	0.762	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_animate_subject_trans	0.013473586661967232	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_causative	0.463	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_causative	0.015775927227262412	std	pythia-160m-seed8	8	32
syntax	Island effects	blimp_complex_NP_island	0.466	acc	pythia-160m-seed8	8	32
syntax	Island effects	blimp_complex_NP_island	0.01578268332993762	std	pythia-160m-seed8	8	32
syntax	Island effects	blimp_coordinate_structure_constraint_complex_left_branch	0.417	acc	pythia-160m-seed8	8	32
syntax	Island effects	blimp_coordinate_structure_constraint_complex_left_branch	0.015599819048769618	std	pythia-160m-seed8	8	32
syntax	Island effects	blimp_coordinate_structure_constraint_object_extraction	0.454	acc	pythia-160m-seed8	8	32
syntax	Island effects	blimp_coordinate_structure_constraint_object_extraction	0.015752210388771844	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_1	0.5	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_1	0.015819299929208316	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_2	0.497	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_2	0.015819015179246724	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_irregular_1	0.529	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_irregular_1	0.015792669451628903	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_irregular_2	0.529	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_irregular_2	0.015792669451628893	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adj_2	0.465	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adj_2	0.015780495050030163	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adj_irregular_1	0.531	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adj_irregular_1	0.015788865959539013	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adj_irregular_2	0.54	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adj_irregular_2	0.01576859691439438	std	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adjective_1	0.487	acc	pythia-160m-seed8	8	32
morphology	Determiner-Noun agreement	blimp_determiner_noun_agreement_with_adjective_1	0.015813952101896626	std	pythia-160m-seed8	8	32
morphology	Subject-Verb agreement	blimp_distractor_agreement_relational_noun	0.471	acc	pythia-160m-seed8	8	32
morphology	Subject-Verb agreement	blimp_distractor_agreement_relational_noun	0.0157926694516289	std	pythia-160m-seed8	8	32
morphology	Subject-Verb agreement	blimp_distractor_agreement_relative_clause	0.514	acc	pythia-160m-seed8	8	32
morphology	Subject-Verb agreement	blimp_distractor_agreement_relative_clause	0.015813097547730987	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_drop_argument	0.631	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_drop_argument	0.015266698139154617	std	pythia-160m-seed8	8	32
syntax	Ellipsis	blimp_ellipsis_n_bar_1	0.574	acc	pythia-160m-seed8	8	32
syntax	Ellipsis	blimp_ellipsis_n_bar_1	0.01564508768811381	std	pythia-160m-seed8	8	32
syntax	Ellipsis	blimp_ellipsis_n_bar_2	0.326	acc	pythia-160m-seed8	8	32
syntax	Ellipsis	blimp_ellipsis_n_bar_2	0.014830507204541047	std	pythia-160m-seed8	8	32
syntaxsemantics	Control/raising	blimp_existential_there_object_raising	0.606	acc	pythia-160m-seed8	8	32
syntaxsemantics	Control/raising	blimp_existential_there_object_raising	0.01545972195749338	std	pythia-160m-seed8	8	32
semantics	Quantifiers	blimp_existential_there_quantifiers_1	0.508	acc	pythia-160m-seed8	8	32
semantics	Quantifiers	blimp_existential_there_quantifiers_1	0.01581727492920901	std	pythia-160m-seed8	8	32
semantics	Quantifiers	blimp_existential_there_quantifiers_2	0.507	acc	pythia-160m-seed8	8	32
semantics	Quantifiers	blimp_existential_there_quantifiers_2	0.015817749561843574	std	pythia-160m-seed8	8	32
syntaxsemantics	Control/raising	blimp_existential_there_subject_raising	0.523	acc	pythia-160m-seed8	8	32
syntaxsemantics	Control/raising	blimp_existential_there_subject_raising	0.0158025542467261	std	pythia-160m-seed8	8	32
syntaxsemantics	Control/raising	blimp_expletive_it_object_raising	0.578	acc	pythia-160m-seed8	8	32
syntaxsemantics	Control/raising	blimp_expletive_it_object_raising	0.015625625112620653	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_inchoative	0.449	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_inchoative	0.01573679276875203	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_intransitive	0.589	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_intransitive	0.015566673418599276	std	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_past_participle_adjectives	0.893	acc	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_past_participle_adjectives	0.009779910359847165	std	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_past_participle_verbs	0.36	acc	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_past_participle_verbs	0.015186527932040133	std	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_plural_subject_verb_agreement_1	0.467	acc	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_plural_subject_verb_agreement_1	0.015784807891138775	std	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_plural_subject_verb_agreement_2	0.502	acc	pythia-160m-seed8	8	32
morphology	Irregular forms	blimp_irregular_plural_subject_verb_agreement_2	0.01581917337430271	std	pythia-160m-seed8	8	32
syntax	Island effects	blimp_left_branch_island_echo_question	0.3	acc	pythia-160m-seed8	8	32
syntax	Island effects	blimp_left_branch_island_echo_question	0.014498627873361428	std	pythia-160m-seed8	8	32
syntax	Island effects	blimp_left_branch_island_simple_question	0.499	acc	pythia-160m-seed8	8	32
syntax	Island effects	blimp_left_branch_island_simple_question	0.015819268290576827	std	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_matrix_question_npi_licensor_present	0.019	acc	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_matrix_question_npi_licensor_present	0.004319451082910648	std	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_npi_present_1	0.714	acc	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_npi_present_1	0.01429714686251791	std	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_npi_present_2	0.709	acc	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_npi_present_2	0.014370995982377937	std	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_only_npi_licensor_present	0.724	acc	pythia-160m-seed8	8	32
semantics	NPI licensing	blimp_only_npi_licensor_present	0.014142984975740663	std	pythia-160m-seed8	8	32
syntaxsemantics	NPI licensing	blimp_only_npi_scope	0.389	acc	pythia-160m-seed8	8	32
syntaxsemantics	NPI licensing	blimp_only_npi_scope	0.015424555647308498	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_passive_1	0.655	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_passive_1	0.015039986742055238	std	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_passive_2	0.664	acc	pythia-160m-seed8	8	32
syntax	Argument structure	blimp_passive_2	0.014944140233795018	std	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_c_command	0.247	acc	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_c_command	0.01364467578131413	std	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_case_1	0.989	acc	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_case_1	0.003299983316607817	std	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_case_2	0.469	acc	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_case_2	0.015788865959539006	std	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_domain_1	0.38	acc	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_domain_1	0.015356947477797587	std	pythia-160m-seed8	8	32
syntaxsemantics	Binding	blimp_principle_A_domain_2	0.44	acc	pythia-160m-seed8	8	32
